case,frame,roi,normalized_enhancement,AT,TTP
V09,0,proximal,0.022573186084628105,10,44
V09,1,proximal,0.02118304930627346,10,44
V09,2,proximal,0.03358669951558113,10,44
V09,3,proximal,0.027309756726026535,10,44
V09,4,proximal,0.014603925868868828,10,44
V09,5,proximal,0.0,10,44
V09,6,proximal,0.0,10,44
V09,7,proximal,0.0,10,44
V09,8,proximal,0.0,10,44
V09,9,proximal,0.0,10,44
V09,10,proximal,0.21127039194107056,10,44
V09,11,proximal,0.43228745460510254,10,44
V09,12,proximal,0.6478467583656311,10,44
V09,13,proximal,0.5760015845298767,10,44
V09,14,proximal,0.5462359189987183,10,44
V09,15,proximal,0.5197223424911499,10,44
V09,16,proximal,0.5348094701766968,10,44
V09,17,proximal,0.5647891759872437,10,44
V09,18,proximal,0.6311558485031128,10,44
V09,19,proximal,0.6731498837471008,10,44
V09,20,proximal,0.689605712890625,10,44
V09,21,proximal,0.6763123273849487,10,44
V09,22,proximal,0.701738715171814,10,44
V09,23,proximal,0.7569959759712219,10,44
V09,24,proximal,0.81406170129776,10,44
V09,25,proximal,0.8231307864189148,10,44
V09,26,proximal,0.8061914443969727,10,44
V09,27,proximal,0.770871639251709,10,44
V09,28,proximal,0.764427125453949,10,44
V09,29,proximal,0.7826538681983948,10,44
V09,30,proximal,0.8073771595954895,10,44
V09,31,proximal,0.7988988161087036,10,44
V09,32,proximal,0.77181077003479,10,44
V09,33,proximal,0.7629173994064331,10,44
V09,34,proximal,0.7869359850883484,10,44
V09,35,proximal,0.8471282720565796,10,44
V09,36,proximal,0.8900262117385864,10,44
V09,37,proximal,0.8865962624549866,10,44
V09,38,proximal,0.8412477970123291,10,44
V09,39,proximal,0.8003128170967102,10,44
V09,40,proximal,0.7796660661697388,10,44
V09,41,proximal,0.8350856900215149,10,44
V09,42,proximal,0.9145229458808899,10,44
V09,43,proximal,0.9867263436317444,10,44
V09,44,proximal,1.0,10,44
V09,45,proximal,0.9694156050682068,10,44
V09,46,proximal,0.8732190728187561,10,44
V09,47,proximal,0.7522918581962585,10,44
V09,48,proximal,0.6548689603805542,10,44
V09,49,proximal,0.6180921196937561,10,44
V09,50,proximal,0.5805829763412476,10,44
V09,51,proximal,0.48267844319343567,10,44
V09,52,proximal,0.3687436878681183,10,44
V09,53,proximal,0.28441092371940613,10,44
V09,0,mid,0.00034181203227490187,16,38
V09,1,mid,0.013894577510654926,16,38
V09,2,mid,0.0,16,38
V09,3,mid,0.006582900416105986,16,38
V09,4,mid,0.0,16,38
V09,5,mid,0.0,16,38
V09,6,mid,0.0,16,38
V09,7,mid,0.0,16,38
V09,8,mid,0.010680343955755234,16,38
V09,9,mid,0.00845834519714117,16,38
V09,10,mid,0.0,16,38
V09,11,mid,0.0,16,38
V09,12,mid,0.0,16,38
V09,13,mid,0.005662916228175163,16,38
V09,14,mid,0.0,16,38
V09,15,mid,0.1227698028087616,16,38
V09,16,mid,0.2821040153503418,16,38
V09,17,mid,0.5083110332489014,16,38
V09,18,mid,0.5700305700302124,16,38
V09,19,mid,0.6175125241279602,16,38
V09,20,mid,0.6324992775917053,16,38
V09,21,mid,0.6597437262535095,16,38
V09,22,mid,0.6868971586227417,16,38
V09,23,mid,0.7057268619537354,16,38
V09,24,mid,0.7311465740203857,16,38
V09,25,mid,0.7432779669761658,16,38
V09,26,mid,0.7499358654022217,16,38
V09,27,mid,0.7637514472007751,16,38
V09,28,mid,0.795157253742218,16,38
V09,29,mid,0.8123819828033447,16,38
V09,30,mid,0.8040273189544678,16,38
V09,31,mid,0.788336455821991,16,38
V09,32,mid,0.7832828164100647,16,38
V09,33,mid,0.803205668926239,16,38
V09,34,mid,0.8640422224998474,16,38
V09,35,mid,0.9379147291183472,16,38
V09,36,mid,0.9919793605804443,16,38
V09,37,mid,0.997612714767456,16,38
V09,38,mid,1.0,16,38
V09,39,mid,0.9887449741363525,16,38
V09,40,mid,0.9577315449714661,16,38
V09,41,mid,0.9143805503845215,16,38
V09,42,mid,0.8711135387420654,16,38
V09,43,mid,0.8485749363899231,16,38
V09,44,mid,0.8156453967094421,16,38
V09,45,mid,0.8051469326019287,16,38
V09,46,mid,0.8084976673126221,16,38
V09,47,mid,0.8256716132164001,16,38
V09,48,mid,0.8498015403747559,16,38
V09,49,mid,0.8660812973976135,16,38
V09,50,mid,0.8915255069732666,16,38
V09,51,mid,0.8877868056297302,16,38
V09,52,mid,0.8680605292320251,16,38
V09,53,mid,0.8415591716766357,16,38
V09,0,distal,0.0,23,52
V09,1,distal,0.0,23,52
V09,2,distal,0.011953682638704777,23,52
V09,3,distal,0.010607924312353134,23,52
V09,4,distal,0.005466692615300417,23,52
V09,5,distal,0.026156533509492874,23,52
V09,6,distal,0.0,23,52
V09,7,distal,0.0,23,52
V09,8,distal,0.0,23,52
V09,9,distal,0.038407567888498306,23,52
V09,10,distal,0.044430192559957504,23,52
V09,11,distal,0.04524669796228409,23,52
V09,12,distal,0.022320562973618507,23,52
V09,13,distal,0.0,23,52
V09,14,distal,0.009408507496118546,23,52
V09,15,distal,0.03282635286450386,23,52
V09,16,distal,0.06356513500213623,23,52
V09,17,distal,0.01303610298782587,23,52
V09,18,distal,0.044341590255498886,23,52
V09,19,distal,0.023829245939850807,23,52
V09,20,distal,0.06752181798219681,23,52
V09,21,distal,0.049559228122234344,23,52
V09,22,distal,0.10243631899356842,23,52
V09,23,distal,0.22112837433815002,23,52
V09,24,distal,0.33293527364730835,23,52
V09,25,distal,0.41604629158973694,23,52
V09,26,distal,0.4003666043281555,23,52
V09,27,distal,0.40161067247390747,23,52
V09,28,distal,0.40832802653312683,23,52
V09,29,distal,0.4635256826877594,23,52
V09,30,distal,0.5151221752166748,23,52
V09,31,distal,0.6054704785346985,23,52
V09,32,distal,0.6092147827148438,23,52
V09,33,distal,0.6538882255554199,23,52
V09,34,distal,0.6178040504455566,23,52
V09,35,distal,0.6500203609466553,23,52
V09,36,distal,0.6573501229286194,23,52
V09,37,distal,0.6956626176834106,23,52
V09,38,distal,0.7482885718345642,23,52
V09,39,distal,0.7738849520683289,23,52
V09,40,distal,0.8006021976470947,23,52
V09,41,distal,0.7831791043281555,23,52
V09,42,distal,0.7734593152999878,23,52
V09,43,distal,0.8059387803077698,23,52
V09,44,distal,0.843455970287323,23,52
V09,45,distal,0.8718379139900208,23,52
V09,46,distal,0.8931757807731628,23,52
V09,47,distal,0.9108082056045532,23,52
V09,48,distal,0.8943982124328613,23,52
V09,49,distal,0.8380150198936462,23,52
V09,50,distal,0.8905420303344727,23,52
V09,51,distal,0.9614582657814026,23,52
V09,52,distal,1.0,23,52
V09,53,distal,0.9477123618125916,23,52
V11,0,proximal,0.0,12,48
V11,1,proximal,0.0028353470843285322,12,48
V11,2,proximal,0.0,12,48
V11,3,proximal,0.0,12,48
V11,4,proximal,0.0,12,48
V11,5,proximal,0.03663904592394829,12,48
V11,6,proximal,0.03507066145539284,12,48
V11,7,proximal,0.02662341296672821,12,48
V11,8,proximal,0.01170871127396822,12,48
V11,9,proximal,0.0,12,48
V11,10,proximal,0.0,12,48
